507 days since enron filed for bankruptcy .	bankruptcy	Business:Declare-Bankruptcy
what 's go on is that union members became outraged after learning about the airline 's executive compensation plan where woi would have paid huge bonuses even in bankruptcy .	bankruptcy	Business:Declare-Bankruptcy
the company saying if they do n't get the flood attendants to concede to a special offer , they will indeed file for bankruptcy .	bankruptcy	Business:Declare-Bankruptcy
the world 's largest airline needs the concessions to avoid a bankruptcy filing .	bankruptcy	Business:Declare-Bankruptcy
the flight attendants came in with a close vote rejecting these concessions so the ceo has extended the deadline today , if they do n't ratify these agreements , amr will have to file for bankruptcy .	bankruptcy	Business:Declare-Bankruptcy
The company intended to use the cash to pay an artificially low price for Yukos assets -LRB- hence that firm 's bankruptcy filing a few days ago -- you know it 's bad when you have to use US courts to protect your own assets from appropriation by your home country -RRB- .	bankruptcy	Business:Declare-Bankruptcy
A bankruptcy case does n't close until you get the discharge order , and until then everything that the debtor receives is fair game for the trustee .	bankruptcy	Business:Declare-Bankruptcy
So I will thankfully accept the low fares , bemoan the loss of food on flights , and watch these companies parade in and out of bankruptcy .	bankruptcy	Business:Declare-Bankruptcy
if the workers do n't approve the steep cut backs american says it will file for bankruptcy .	bankruptcy	Business:Declare-Bankruptcy
A convict can file a case review or appeal for presidential clemency only after the Supreme Court upholds a sentence imposed by a lower court .	sentence	Justice:Sentence
All the FL prosecutors have to do is ask , and the AZ jailers will pack her up in a van or a plane and ship her back to FL for trial on the FTA charge and probably to commence her serving time under the suspended sentence that went along with her original probation .	sentence	Justice:Sentence
She was sentenced to 1 -LCB- years in jail .	sentenced	Justice:Sentence
for killing his wife and three children the oldest of whom was three , christian longo had been sentenced to die .	sentenced	Justice:Sentence
Records appear to show that 50000 _ men _ were convicted of homosexuality during the Nazi rule , finding out how many were sent to a camp and killed there is more difficult especially as some who were sent to normal jails were transferred to camps at the end of their sentence , but 10-15k seems reasonable	sentence	Justice:Sentence
Indonesian courts have increasingly handed out severe sentences , including death , for drug smugglers .	sentences	Justice:Sentence
the oklahoma city bombing conspirator is already serving a life term in federal prison .	serving	Justice:Sentence
Ocalan , leader of the Kurdistan Workers Party , or PKK , is serving a life sentence in Turkey for leading a 15-year insurgency against the country that left 37,000 people dead .	sentence	Justice:Sentence
It lasts as long as the rest of your sentence lasts .	sentence	Justice:Sentence
They assure us that as soon as they do start turning on these radars that they 'll take those out too and finish the job in terms of airspace over Baghdad.Judy ...	take those out	Conflict:Attack
we know the israelis fired .	fired	Conflict:Attack
Iran To Continue Policy of Shooting-Down US Spy Drones	Shooting-Down	Conflict:Attack
It was in northern Iraq today that an eight artillery round hit the site occupied by Kurdish fighters near Chamchamal .	hit	Conflict:Attack
they all tell me , the soldiers you talk to and also some of the information people here at fort hood , they train like they fight .	fight	Conflict:Attack
the president , quoted by ari fleischer , his spokesman , is saying he 's concerned the strike will undermine efforts by palestinian authorities to bring an end to terrorist attacks and does not contribute to the security of israel .	strike	Conflict:Attack
